Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
,,,Smouha,,,,,,,,,,,https://aqarmap.com.eg/en/listing/5135762-projects-sky-line-residential/
EG-5142981,Apartment for sale 139 m Smouha (Grand View),"5,100,000 EGP",Smouha,2,2,139,3,Super Lux,,2024,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5142981-for-sale-alexandria-smouha-compounds-in-smouha-grand-view-complex-alexandria-for-investment/
EG-5070520,Apartment for sale (Smouha - Marouj district) 135 m,"4,725,000 EGP",Smouha,3,2,135,11,Super Lux,Garden,2023,Installments,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5070520-for-sale-alexandria-smouha-Muruj/
,,,Smouha,,,,,,,,,,,https://aqarmap.com.eg/en/listing/5135775-projects-sky-line-residential/
,,,Smouha,,,,,,,,,,,https://aqarmap.com.eg/en/listing/5135757-projects-sky-line-residential/
EG-5132295,Apartment for sale - Smouha - area 175 full meters,"4,250,000 EGP",Smouha,2,2,175,10,Extra Super Lux,Other,2003,Cash,Broker,REMAX TOP AGENTS,https://aqarmap.com.eg/en/listing/5132295-for-sale-alexandria-smouha-victor-amanoiel-square/
EG-5134640,Apartment for sale 149m Smouha (Al Riada Street),"4,200,000 EGP",Smouha,3,2,149,2,Super Lux,Main Street,2000,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5134640-for-sale-alexandria-smouha-shr-mhmd-bw-lftwh-hsb-lrydh/
EG-5148821,شـقـة لـلـبـيـع 160 م - سـمـوحـة - المربع الذهبي,"5,700,000 EGP",Smouha,3,2,160,3,Super Lux,Side Street,2010,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5148821-for-sale-alexandria-smouha-el-fardous-st/
EG-5128252,Apartments For sale in 14th of May St.,"8,750,000 EGP",Smouha,3,2,209,4,Super Lux,Other,2024,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5128252-for-sale-alexandria-smouha-compounds-in-smouha-grand-view-complex-alexandria-for-investment/
,,,Smouha,,,,,,,,,,,https://aqarmap.com.eg/en/listing/5135770-projects-sky-line-residential/
