"Indicator","Unit","Governorate","Region","Year","Real Estate Ownership","Total Governorate GDP"
"Regional accounts , GDP by governorate","One thousand EGP","Alexandria","Alexandria","2021/2020","45997204.73","565875824.5"
"Regional accounts , GDP by governorate","One thousand EGP","Alexandria","Alexandria","2020/2019","41842150.96","522191035.3"
"Regional accounts , GDP by governorate","One thousand EGP","Alexandria","Alexandria","2019/2018","35029275.15","411564653"
"Regional accounts , GDP by governorate","One thousand EGP","Alexandria","Alexandria","2018/2017","29389762.49","322802919.6"
"Regional accounts , GDP by governorate","One thousand EGP","Alexandria","Alexandria","2017/2016","23802724.58","243979205.7"
"Regional accounts , GDP by governorate","One thousand EGP","Alexandria","Alexandria","2016/2015","7186313.16","200168146.9"
"Regional accounts , GDP by governorate","One thousand EGP","Alexandria","Alexandria","2015/2014","6074202.56","161816706"
"Regional accounts , GDP by governorate","One thousand EGP","Alexandria","Alexandria","2014/2013","5209994.93","111248237.1"
"Regional accounts , GDP by governorate","One thousand EGP","Alexandria","Alexandria","2013/2012","4701771.76","95630331.31"
