,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,2655.3584779274925,6830.5065997197025,4742.9325388235975
1,2025Q3,1964.5151008645944,5275.022603887441,3619.7688523760175
2,2025Q4,5311.21991136808,7167.132108724148,6239.176010046113
3,2026Q1,8054.435427041969,9922.88975203075,8988.66258953636
4,2026Q2,8929.292086792093,10876.56614420271,9902.929115497402
5,2026Q3,9728.426643107561,12258.702966935945,10993.564805021753
6,2026Q4,11690.899727997981,13757.112572650485,12724.006150324234
7,2027Q1,12030.11623812749,15728.810152107431,13879.463195117462
8,2027Q2,12030.11623812749,15728.810152107431,13879.463195117462
9,2027Q3,12030.11623812749,15728.810152107431,13879.463195117462
10,2027Q4,12039.800864822799,15708.253770481662,13874.027317652231
11,2028Q1,13026.775771877878,17542.091855995128,15284.433813936503
