,hay-el-gomrok,Date
0,0.0,2020Q4
1,8784.0,2021Q4
2,15175.0,2022Q4
3,17884.0,2023Q4
4,24652.5,2024Q1
5,24792.0,2024Q2
6,24931.0,2024Q3
7,24826.0,2024Q4
