,hay-al-agami,Date
0,5052.0,2020Q4
1,5715.0,2021Q4
2,6742.0,2022Q4
3,7739.5,2023Q3
4,7829.0,2023Q4
5,9651.0,2024Q1
6,9465.0,2024Q2
7,9372.0,2024Q3
8,9502.0,2024Q4
