,hay-than-el-montazah,Date
0,11568.0,2020Q4
1,12824.5,2021Q4
2,9922.5,2022Q4
3,10826.5,2023Q1
4,13077.5,2023Q3
5,11984.5,2023Q4
6,12719.25,2024Q1
7,15342.0,2024Q2
8,18072.0,2024Q3
9,16016.0,2024Q4
