,Alexandria,Date
0,11985.5,2020Q4
1,12067.0,2021Q4
2,13797.0,2022Q4
3,14131.5,2023Q1
4,15676.5,2023Q3
5,15386.5,2023Q4
6,17391.0,2024Q1
7,19503.0,2024Q2
8,21216.0,2024Q3
9,19879.0,2024Q4
