,hay-wasat,Date
0,13299.5,2020Q4
1,13334.0,2021Q4
2,14076.5,2022Q4
3,16544.0,2023Q1
4,16229.0,2023Q3
5,16599.5,2023Q4
6,16237.0,2024Q1
7,18544.5,2024Q2
8,22102.5,2024Q3
9,20154.5,2024Q4
