,hay-awal-el-montazah,Date
0,8535.5,2020Q4
1,8532.5,2021Q4
2,10412.0,2022Q4
3,10026.5,2023Q1
4,10564.0,2023Q3
5,10714.0,2023Q4
6,12783.5,2024Q1
7,14421.0,2024Q2
8,15758.0,2024Q3
9,14774.0,2024Q4
