,hay-al-amereya,Date
0,9011.5,2020Q4
1,8191.0,2021Q4
2,14701.0,2022Q4
3,13759.5,2023Q1
4,20025.5,2023Q3
5,11583.5,2023Q4
6,18542.5,2024Q1
7,19736.5,2024Q2
8,20381.75,2024Q3
9,19641.5,2024Q4
