,hay-sharq ,Date
0,12626.5,2020Q4
1,12815.5,2021Q4
2,13513.0,2022Q4
3,14490.0,2023Q1
4,15774.0,2023Q3
5,15562.0,2023Q4
6,18178.75,2024Q1
7,20511.0,2024Q2
8,22582.0,2024Q3
9,21227.0,2024Q4
