,Date,Price Per Meter
0,2022Q4,15175.0
1,2023Q4,24444.0
2,2024Q1,24722.0
3,2024Q3,24931.0
0,2020Q4,0.0
1,2021Q4,8784.0
2,2022Q4,15175.0
3,2023Q4,17884.0
4,2024Q4,24826.0
0,2023Q4,24444.0
1,2024Q1,24652.5
2,2024Q2,24792.0
3,2024Q3,24965.5
