,Date,Price Per Meter
0,2022Q4,9922.5
1,2023Q1,10826.5
2,2023Q3,13077.5
3,2023Q4,12458.0
4,2024Q1,13030.0
5,2024Q3,18072.0
0,2020Q4,11568.0
1,2021Q4,12824.5
2,2022Q4,11975.5
3,2023Q4,11984.5
4,2024Q4,16016.0
0,2023Q4,12458.0
1,2024Q1,12719.25
2,2024Q2,15342.0
3,2024Q3,18719.0
