,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,16674.904,18474.787,17574.846
1,2025Q3,17238.43,18558.773,17898.602
2,2025Q4,16687.93,18480.463,17584.197
3,2026Q1,17400.594,19204.129,18302.361
4,2026Q2,17671.059,19181.566,18426.312
5,2026Q3,17377.53,19260.514,18319.021
6,2026Q4,17325.271,19355.848,18340.56
7,2027Q1,17815.55,20379.639,19097.596
8,2027Q2,17717.94,20319.492,19018.717
9,2027Q3,17450.092,20317.455,18883.773
10,2027Q4,17210.672,20339.406,18775.04
11,2028Q1,20465.463,23889.39,22177.426
