,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,-4170.486055664335,16725.047399592146,6277.280671963904
1,2025Q3,3927.2084021392516,16081.428271917015,10004.318337028133
2,2025Q4,4381.752602435855,13631.123575420565,9006.438088928211
3,2026Q1,804.1690968423221,10270.482088343057,5537.32559259269
4,2026Q2,2137.654402943531,6508.256373983234,4322.955388463382
5,2026Q3,5199.339207095307,13802.113096530282,9500.726151812794
6,2026Q4,6618.786629335874,15106.273290924439,10862.529960130156
7,2027Q1,9326.77879662396,17984.761679637493,13655.770238130726
8,2027Q2,14834.533613834084,25630.55294778928,20232.543280811682
9,2027Q3,21176.220104073313,31479.505376307716,26327.862740190514
10,2027Q4,26543.32817825587,35705.13596284389,31124.23207054988
11,2028Q1,14919.516706606542,44256.83940701282,29588.17805680968
