Area,Bedrooms No.,2020,2021,2022,2023,2024
Alexandria,1,"EGP 26,758","EGP 21,162","EGP 19,782","EGP 22,373","EGP 27,413"
Alexandria,2,"EGP 11,241","EGP 10,479","EGP 13,291","EGP 15,422","EGP 20,275"
Alexandria,3,"EGP 12,730","EGP 13,655","EGP 14,303","EGP 15,351","EGP 19,483"
Alexandria,4,"EGP 12,382","EGP 13,404","EGP 13,831","EGP 15,390","EGP 24,287"
Alexandria,5,"EGP 10,828","EGP 15,565","EGP 15,569","EGP 15,846","EGP 18,812"
Alexandria,6,"EGP 14,519","EGP 19,525","EGP 21,362","EGP 22,559","EGP 26,076"
