,area,Test_Size,Moving_Avg,Lags,PCA,MAE,RMSE,Width,R2
0,hay al agami,0.2,4,4,6,0.4566275444393536,0.299954089681051,5499.800172069477,-1.040473038255306
1,hay al amereya,0.2,4,4,6,0.8231284317884934,0.7410567145352711,5499.800172069477,-3.797674429814113
2,hay awal el montazah,0.2,4,4,6,0.5070190956978047,0.3539686915476868,5499.800172069477,-1.353081968674251
3,hay gharb,0.2,4,4,6,0.6625711759966489,0.5220951451930785,5499.800172069477,-2.3444894027132586
4,hay sharq,0.2,4,4,6,0.5583548366252639,0.42989414109718005,5499.800172069477,-1.913959560342085
5,hay than el montazah,0.2,4,4,6,0.5457295081343962,0.41060198738975734,5499.800172069477,-1.8431667611791256
6,hay wasat,0.2,4,4,6,0.7269024694254157,0.6209299186345837,5499.800172069477,-3.4545763957166615
