,area,Test_Size,Moving_Avg,Lags,PCA,nn_units,dropout_rate,learning_rate,epochs,batch_size,MAE,RMSE,Width,R2
0,hay al agami,0.2,0,8,6,8,0.1,0.01,20,8,0.10083191850485416,0.012849192148620308,3788.0879999999997,0.9125918564054244
1,hay al amereya,0.2,0,12,6,8,0.1,0.01,20,8,0.14501322187478888,0.0374647813051553,3788.0879999999997,0.7574493021103766
2,hay awal el montazah,0.2,4,8,6,8,0.1,0.01,20,4,0.14774308700784175,0.026848338595269677,3788.0879999999997,0.8215199735288483
3,hay gharb,0.2,0,12,6,8,0.1,0.01,20,4,0.1294919871772216,0.021807691378209003,3788.0879999999997,0.8603021051170882
4,hay sharq,0.2,4,12,5,8,0.1,0.01,20,8,0.12899877490540845,0.020816925839099085,3788.0879999999997,0.8588962391742332
5,hay than el montazah,0.2,4,4,5,8,0.1,0.01,20,8,0.13213269785313667,0.022769024009335035,3788.0879999999997,0.8423384829202468
6,hay wasat,0.2,4,8,6,8,0.1,0.01,20,4,0.16829934672099459,0.04251048919271313,3788.0879999999997,0.6950280280508276
