,area,Test_Size,Moving_Avg,Lags,PCA,lstm_units,dropout_rate,learning_rate,epochs,batch_size,MAE,RMSE,Width,R2
0,hay al agami,0.2,4,8,5,8,0.1,0.01,20,4,0.06988383368145046,0.007796760556869681,1888.281083333333,0.9469616176297461
1,hay al amereya,0.2,4,12,5,16,0.1,0.01,20,4,0.08434493248204422,0.007937473356231996,1888.281083333333,0.9486120128033567
2,hay awal el montazah,0.2,4,8,6,16,0.1,0.01,20,4,0.11254979125442814,0.01903875472146393,1888.281083333333,0.8734358390703798
3,hay gharb,0.2,8,4,6,16,0.1,0.01,20,4,0.06646625130714989,0.008155697702091147,1888.281083333333,0.9477554143387229
4,hay sharq,0.2,4,8,6,8,0.1,0.01,20,4,0.12797764917239146,0.024109621836687363,1888.281083333333,0.8365772958246341
5,hay than el montazah,0.2,4,8,6,16,0.1,0.01,20,4,0.11192844407728016,0.017277171040081345,1888.281083333333,0.8803661941807951
6,hay wasat,0.2,4,8,5,16,0.1,0.01,20,4,0.15223226119943284,0.032879284644206176,1888.281083333333,0.7641226797281715
