,Date,Price Per Meter
0,2022Q4,17960.5
1,2023Q1,16544.0
2,2023Q3,16229.0
3,2023Q4,16832.0
4,2024Q1,16237.0
5,2024Q3,22102.5
0,2020Q4,13299.5
1,2021Q4,13334.0
2,2022Q4,14076.5
3,2023Q4,16599.5
4,2024Q4,20154.5
0,2023Q4,16832.0
1,2024Q1,16511.75
2,2024Q2,18544.5
3,2024Q3,23454.0
