,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,31102.934,32763.734,31933.334
1,2025Q3,31626.732,32829.074,32227.904
2,2025Q4,31299.51,33096.93,32198.22
3,2026Q1,31929.13,34194.508,33061.82
4,2026Q2,32321.768,34257.562,33289.664
5,2026Q3,32220.354,34099.777,33160.066
6,2026Q4,32258.72,33933.05,33095.887
7,2027Q1,32478.602,35020.363,33749.484
8,2027Q2,32273.336,34818.9,33546.117
9,2027Q3,32092.045,34495.793,33293.918
10,2027Q4,31875.807,34269.043,33072.426
11,2028Q1,37807.754,41278.426,39543.09
