,Real Estate Activitie,Date,Domestic Liquidity,Money Supply,Points,Inflation Rate
0,312317.35,2025Q1,8058082.235753853,1940688.8171514184,4516.872631196303,1.66
1,300489.76,2024Q4,7782193.667036144,1874194.7209083354,5474.0,0.8776666666666667
2,277045.69,2024Q3,7232046.649298379,1741611.353843504,5526.0,0.47
3,277045.69,2024Q3,7232046.649298379,1741611.353843504,5526.0,0.47
4,273429.53,2024Q2,7142863.184844036,1720138.4821288423,2540.5,0.27466666666666667
5,283446.41,2024Q1,7381458.235172624,1777622.6401302028,4965.0,5.630666666666667
6,271058.4,2023Q4,8782600.0,2323706.0,1481.6666666666667,1.3646666666666665
7,242714.5,2023Q3,8453993.0,2136003.0,2566.6666666666665,0.919
8,234770.7,2023Q2,8152624.0,1980311.3333333333,3561.3333333333335,2.0896666666666666
9,240987.6,2023Q1,7833051.666666667,1727897.6666666667,3473.0,5.659
10,223242.56,2022Q4,7300471.0,1699175.3333333333,3056.0,2.732333333333333
11,193138.07,2022Q3,6822310.666666667,1624707.3333333333,1799.3333333333333,1.2183333333333335
12,192316.22,2022Q2,6510442.0,1507049.6666666667,1818.3333333333333,1.729
13,206389.0,2022Q1,6035304.666666667,1416633.3333333333,2534.0,1.6913333333333334
14,190421.2,2021Q4,5738228.333333333,1363429.0,2557.3333333333335,0.9283333333333333
15,174499.41,2021Q3,5496818.666666667,1307925.0,2701.5,0.229
16,173340.77,2021Q2,5265997.0,1226166.0,2506.6666666666665,0.37333333333333335
17,187518.87,2021Q1,5038184.0,1162447.3333333333,2522.3333333333335,0.4123333333333334
18,180674.08,2020Q4,4857452.666666667,1139646.0,2610.3333333333335,0.5713333333333334
19,158690.09,2020Q3,4688827.0,1126562.0,2496.0,-0.09066666666666667
20,150795.73,2020Q2,4447769.0,1078859.0,2229.0,0.3173333333333333
21,169295.33,2020Q1,4201263.666666667,1007605.3333333334,2520.3333333333335,0.4543333333333333
22,154793.38,2019Q4,4062560.3333333335,961010.6666666666,2810.6666666666665,0.395
23,137780.22,2019Q3,3941569.3333333335,942225.0,3162.6666666666665,-0.8363333333333333
24,132959.32,2019Q2,3807644.3333333335,904667.3333333334,2693.0,0.6253333333333334
25,143879.37,2019Q1,3679827.3333333335,845190.6666666666,2541.3333333333335,0.6143333333333333
26,130243.82,2018Q4,3591213.3333333335,830941.3333333334,2734.0,0.4693333333333333
27,115347.64,2018Q3,3510292.3333333335,830928.3333333334,1070.6666666666667,0.36666666666666664
28,110275.58,2018Q2,3411714.0,800128.6666666666,3246.6666666666665,1.4163333333333334
29,122774.83,2018Q1,3297542.3333333335,751369.6666666666,3000.5,0.421
30,109395.07,2017Q4,3143779.3333333335,729902.3333333334,2926.5,0.5479999999999999
31,99464.13,2017Q3,2998358.0,718525.0,3046.6666666666665,1.0896666666666668
32,85056.53,2017Q2,2850788.3333333335,681957.0,2522.0,1.6273333333333333
33,91939.0,2017Q1,2690881.6666666665,629138.0,2664.6666666666665,2.858
34,75919.8,2016Q4,2482654.0,620144.6666666666,2625.3333333333335,4.165333333333334
35,68931.5,2016Q3,2151503.6666666665,593251.6666666666,2646.6666666666665,0.7506666666666666
36,63993.4,2016Q2,2048475.0,555359.3333333334,2302.0,1.7093333333333334
37,71069.3,2016Q1,1939982.0,523410.6666666667,2179.0,1.1613333333333333
38,63893.8,2015Q4,1883488.6666666667,518335.0,2217.3333333333335,0.762
39,59745.2,2015Q3,1822971.0,510218.6666666667,2385.6666666666665,0.287
40,52607.7,2015Q2,1728652.0,480480.6666666667,2142.0,0.49666666666666665
41,60902.0,2015Q1,1649050.0,452318.6666666667,2317.3333333333335,0.7926666666666667
42,55771.2,2014Q4,1579927.3333333333,437082.0,2236.5,0.23
43,48762.3,2014Q3,1548722.0,427295.3333333333,2362.3333333333335,1.079
44,44357.7,2014Q2,1486863.0,401982.3333333333,1341.3333333333333,0.231
45,51787.4,2014Q1,1418100.0,381340.0,2043.3333333333333,0.9420000000000001
46,49192.8,2013Q4,1365435.3333333333,370736.3333333333,1299.3333333333333,0.6813333333333333
47,42619.5,2013Q3,1326837.6666666667,360853.3333333333,1721.0,0.96
48,38925.4,2013Q2,1272486.6666666667,334845.3333333333,1572.5,0.5803333333333334
49,43413.3,2013Q1,1215450.0,313278.3333333333,1757.0,1.5579999999999998
50,43442.9,2012Q4,1153103.3333333333,289236.3333333333,1721.3333333333333,0.4546666666666667
51,37553.9,2012Q3,1113824.3333333333,281686.3333333333,1756.0,0.16733333333333333
52,34578.6,2012Q2,1073586.3333333333,267276.3333333333,,0.10466666666666669
53,37466.5,2012Q1,1049667.0,259464.66666666666,,0.7283333333333334
54,9858.0,2011Q4,1033833.6666666666,257949.0,,0.26
55,8058.0,2011Q3,1022571.6666666666,256095.66666666666,,1.1849999999999998
56,7861.0,2011Q2,996878.0,244870.66666666666,,0.6126666666666667
57,8289.0,2011Q1,980111.6666666666,236581.0,,0.2294333333333333
58,8869.0,2010Q4,966153.6666666666,223673.33333333334,,0.5339999999999999
59,7255.0,2010Q3,935347.6666666666,217417.33333333334,,1.4986666666666668
60,6996.0,2010Q2,901289.3333333334,208058.0,,0.48933333333333334
61,7142.0,2010Q1,877165.3333333334,199602.66666666666,,0.5696666666666667
62,7790.0,2009Q4,856056.0,195995.0,,-0.09723333333333334
63,6281.0,2009Q3,839922.6666666666,188815.33333333334,,0.8723333333333333
64,6199.2,2009Q2,823489.3333333334,179898.0,,0.6473333333333334
65,6305.0,2009Q1,800570.3333333334,172213.66666666666,,0.6723333333333333
