,Date,24k,21k,18k
0,1988Q4,31.067243236291734,27.183837831755266,23.3004324272188
1,1989Q1,30.100578177161196,26.338005905016047,22.575433632870897
2,1989Q2,30.519609261551484,26.704658103857547,22.889706946163614
3,1989Q3,29.936609491964997,26.194533305469374,22.452457118973747
4,1989Q4,32.515097443481714,28.4507102630465,24.386323082611284
5,1990Q1,33.14525160619652,29.00209515542195,24.858938704647386
6,1990Q2,31.268721097840004,27.360130960610004,23.451540823380004
7,1990Q3,34.09691299478623,29.83479887043795,25.57268474608967
8,1990Q4,35.31435369009918,30.900059478836784,26.485765267574386
9,1991Q1,36.10097470273977,31.5883528648973,27.07573102705483
10,1991Q2,38.04930849154168,33.29314493009897,28.53698136865626
11,1991Q3,37.915347147427134,33.17592875399874,28.436510360570352
12,1991Q4,38.47798479270821,33.66823669361969,28.85848859453116
13,1992Q1,37.79103102008884,33.06715214257773,28.343273265066628
14,1992Q2,36.16849122017351,31.64742981765182,27.12636841513013
15,1992Q3,37.14587318683321,32.50263903847905,27.859404890124907
16,1992Q4,35.759105352559466,31.289217183489534,26.8193290144196
17,1993Q1,35.653007968020745,31.196381972018152,26.73975597601556
18,1993Q2,39.70721408630325,34.74381232551535,29.78041056472744
19,1993Q3,40.56885345164799,35.49774677019199,30.426640088735994
20,1993Q4,40.808912180301256,35.7077981577636,30.60668413522594
21,1994Q1,41.52801667550812,36.337014591069604,31.146012506631088
22,1994Q2,41.5665975426131,36.37077284978646,31.17494815695983
23,1994Q3,42.15924252897584,36.88933721285386,31.61943189673188
24,1994Q4,41.842022066112605,36.61176930784853,31.381516549584454
25,1995Q1,41.72949453705638,36.513307719924335,31.297120902792287
26,1995Q2,42.49361004388573,37.181908788400015,31.8702075329143
27,1995Q3,41.905251820534666,36.66709534296783,31.428938865401
28,1995Q4,42.19782339608083,36.923095471570726,31.648367547060623
29,1996Q1,43.81929150524325,38.34188006708784,32.864468628932435
30,1996Q2,42.39822956687618,37.09845087101666,31.798672175157137
31,1996Q3,41.92882901709883,36.68772538996147,31.446621762824122
32,1996Q4,40.78211991147834,35.68435492254355,30.586589933608757
33,1997Q1,38.29901243697119,33.51163588234979,28.72425932772839
34,1997Q2,37.11800922725738,32.478258073850206,27.838506920443038
35,1997Q3,35.79875791041737,31.3239131716152,26.849068432813027
36,1997Q4,32.753012790629136,28.658886191800494,24.564759592971853
37,1998Q1,32.98556968401198,28.86237347351048,24.739177263008983
38,1998Q2,32.921268238837,28.806109708982376,24.69095117912775
39,1998Q3,31.334094233767903,27.417332454546916,23.50057067532593
40,1998Q4,32.04569689370435,28.039984781991308,24.034272670278263
41,1999Q1,31.17762738384212,27.280423960861853,23.383220537881588
42,1999Q2,29.949469780999994,26.205786058374994,22.462102335749996
43,1999Q3,29.614030575337182,25.912276753420034,22.210522931502886
44,1999Q4,32.30290267440427,28.26503984010374,24.227177005803206
45,2000Q1,31.359814811837897,27.439837960358158,23.519861108878423
46,2000Q2,30.909704695613033,27.045991608661403,23.182278521709776
47,2000Q3,31.23228361224085,27.328248160710743,23.424212709180637
48,2000Q4,32.941630363142416,28.823926567749613,24.70622277235681
49,2001Q1,32.66406245813708,28.581054650869945,24.49804684360281
50,2001Q2,33.41424598517852,29.237465237031202,25.060684488883886
51,2001Q3,37.110507391986964,32.47169396798859,27.83288054399022
52,2001Q4,38.87986882505184,34.019885221920354,29.15990161878888
53,2002Q1,43.71640919296328,38.25185804384287,32.78730689472246
54,2002Q2,47.28728278168052,41.37637243397045,35.46546208626039
55,2002Q3,46.81145208738567,40.96002057646246,35.10858906553925
56,2002Q4,48.79943843404547,42.69950862978979,36.5995788255341
57,2003Q1,62.469925678246284,54.6611849684655,46.85244425868471
58,2003Q2,67.01603785211739,58.63903312060272,50.262028389088044
59,2003Q3,73.68624109826868,64.47546096098509,55.26468082370151
60,2003Q4,79.1443621028716,69.25131684001265,59.3582715771537
61,2004Q1,80.77654711956318,70.67947872961778,60.58241033967238
62,2004Q2,78.14554632115357,68.37735303100938,58.60915974086518
63,2004Q3,81.03053782800436,70.90172059950382,60.77290337100327
64,2004Q4,86.9966402494896,76.1220602183034,65.2474801871172
65,2005Q1,80.0435106445684,70.03807181399735,60.032632983426296
