,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,415.6226932596563,605.3364936520804,510.4795934558683
1,2025Q3,423.47632004286027,573.7438067613809,498.6100634021206
2,2025Q4,450.5980226075427,721.1802181126585,585.8891203601006
3,2026Q1,687.6448835220515,839.4220129431649,763.5334482326082
4,2026Q2,897.5918450592457,1441.5429707945696,1169.5674079269077
5,2026Q3,994.6193746308963,1456.6562148031824,1225.6377947170395
6,2026Q4,996.4317593774099,1633.3041518307973,1314.8679556041036
7,2027Q1,1919.3024852741014,2240.893266069509,2080.097875671805
8,2027Q2,1895.2519602466814,2130.6362124513985,2012.94408634904
9,2027Q3,1877.6361830119547,2159.6091187877805,2018.6226508998675
10,2027Q4,1893.7428244443838,2179.1534993026476,2036.4481618735158
11,2028Q1,2135.228687668346,2240.148454070992,2187.688570869669
