,Area,Bedrooms No.,Aug 2024,Dec 2024,Feb 2025,Jun 2024,Oct 2024,Apr 2024,Aug 2023,Dec 2023,2022,2023,2024,2025
0,hay-al-agami,3,"EGP 12,273","EGP 12,273","EGP 12,273","EGP 12,273","EGP 12,273",,,,,,,
1,hay-al-agami,3,"EGP 12,273","EGP 12,273",,,,"EGP 12,273","EGP 8,768","EGP 11,397",,,,
2,hay-al-agami,3,,,,,,,,,"EGP 8,768","EGP 9,206","EGP 12,273","EGP 12,273"
