,Area,Bedrooms No.,Aug 2024,Dec 2024,Feb 2025,Jun 2024,Oct 2024,Apr 2024,Aug 2023,Dec 2023,2022,2023,2024,2025
0,hay-wasat,3,"EGP 23,242","EGP 25,751","EGP 26,917","EGP 20,698","EGP 24,853",,,,,,,
1,hay-wasat,3,"EGP 23,242","EGP 25,751",,,,"EGP 18,971","EGP 16,541","EGP 17,931",,,,
2,hay-wasat,3,,,,,,,,,"EGP 15,151","EGP 16,285","EGP 21,631","EGP 26,858"
3,hay-wasat,4,"EGP 35,719","EGP 42,406","EGP 42,403","EGP 23,332","EGP 42,757",,,,,,,
4,hay-wasat,4,"EGP 35,719","EGP 42,406",,,,"EGP 18,287","EGP 19,344","EGP 18,283",,,,
5,hay-wasat,4,,,,,,,,,"EGP 17,468","EGP 20,884","EGP 29,053","EGP 42,404"
