,Area,Bedrooms No.,Aug 2024,Dec 2024,Feb 2025,Jun 2024,Oct 2024,Apr 2024,Aug 2023,Dec 2023,2022,2023,2024,2025
0,hay-than-el-montazah,3,"EGP 18,801","EGP 19,803","EGP 20,695","EGP 17,367","EGP 19,049",,,,,,,
1,hay-than-el-montazah,3,"EGP 18,801","EGP 19,803",,,,"EGP 14,407","EGP 12,151","EGP 13,155",,,,
2,hay-than-el-montazah,3,,,,,,,,,"EGP 10,251","EGP 11,543","EGP 16,816","EGP 20,784"
3,hay-than-el-montazah,4,"EGP 49,670","EGP 40,016","EGP 30,000","EGP 40,102","EGP 49,959",,,,,,,
4,hay-than-el-montazah,4,"EGP 49,670","EGP 40,016",,,,"EGP 28,087","EGP 9,332","EGP 9,442",,,,
5,hay-than-el-montazah,4,,,,,,,,,"EGP 12,932","EGP 9,387","EGP 36,270","EGP 31,669"
