,Area,Bedrooms No.,Aug 2024,Dec 2024,Feb 2025,Jun 2024,Oct 2024,Apr 2024,Aug 2023,Dec 2023,2022,2023,2024,2025
0,hay-al-amereyah,3,"EGP 18,085","EGP 17,509","EGP 17,499","EGP 17,058","EGP 17,509",,,,,,,
1,hay-al-amereyah,3,"EGP 18,085","EGP 17,509",,,,"EGP 15,259","EGP 14,616","EGP 12,464",,,,
2,hay-al-amereyah,3,,,,,,,,,"EGP 14,737","EGP 13,875","EGP 16,348","EGP 17,438"
3,hay-al-amereyah,4,"EGP 17,498","EGP 17,498","EGP 17,498","EGP 17,498","EGP 17,498",,,,,,,
4,hay-al-amereyah,4,"EGP 17,498","EGP 17,498",,,,"EGP 17,498","EGP 17,498","EGP 17,498",,,,
5,hay-al-amereyah,4,,,,,,,,,"EGP 15,473","EGP 17,498","EGP 17,498","EGP 17,498"
