,Area,Bedrooms No.,Apr 2024,Aug 2024,Dec 2024,Jun 2024,Oct 2024,Aug 2023,Dec 2023,2022,2023,2024,2025,Feb 2025
0,hay-sharq,3,"EGP 20,888","EGP 24,797","EGP 28,460","EGP 22,863","EGP 26,556",,,,,,,
1,hay-sharq,3,"EGP 20,888","EGP 24,797","EGP 28,460",,,"EGP 17,524","EGP 18,807",,,,,
2,hay-sharq,3,,,,,,,,"EGP 14,275","EGP 16,627","EGP 23,448","EGP 29,778",
3,hay-sharq,4,,"EGP 24,671","EGP 27,902","EGP 23,149","EGP 25,760",,,,,,,"EGP 33,552"
4,hay-sharq,4,"EGP 21,153","EGP 24,671","EGP 27,902",,,,"EGP 18,709",,,,,
5,hay-sharq,4,,,,,,,,"EGP 15,522","EGP 17,409","EGP 23,315","EGP 33,481",
