,Area,Bedrooms No.,Aug 2024,Dec 2024,Feb 2025,Jun 2024,Oct 2024,Apr 2024,Aug 2023,Dec 2023,2022,2023,2024,2025
0,hay-awal-el-montazah,3,"EGP 16,742","EGP 17,801","EGP 18,451","EGP 15,680","EGP 17,206",,,,,,,
1,hay-awal-el-montazah,3,"EGP 16,742","EGP 17,801",,,,"EGP 13,962","EGP 10,443","EGP 11,589",,,,
2,hay-awal-el-montazah,3,,,,,,,,,"EGP 10,269","EGP 10,398","EGP 15,380","EGP 18,440"
3,hay-awal-el-montazah,4,"EGP 20,607","EGP 17,794","EGP 18,210","EGP 21,938","EGP 18,011",,,,,,,
4,hay-awal-el-montazah,4,"EGP 20,607","EGP 17,794",,,,"EGP 17,435","EGP 7,881","EGP 11,354",,,,
5,hay-awal-el-montazah,4,,,,,,,,,"EGP 7,256","EGP 8,739","EGP 17,942","EGP 18,147"
