,Date,hay-al-agami,alexandria-compounds,hay-gharb,hay-al-amereyah,hay-wasat,hay-than-el-montazah,hay-el-gomrok,hay-sharq,hay-awal-el-montazah
0,2017Q1,2135.0553995543996,18572.486993419618,8050.278696426671,4702.101849448991,7779.366005814401,8082.423566137695,5902.252677013868,6980.913886776268,5703.8456976170555
1,2017Q2,1874.6599448754232,18844.015425350444,8287.927481990093,4955.732624628495,7970.170115330669,8255.958213685079,6057.066928162858,7242.156852888708,5895.315891651879
2,2017Q3,2400.0112325676705,19092.315481622136,8508.93962840713,5191.59806578274,8146.545473939492,8416.26902985463,6200.507644071528,7482.985029480411,6072.790833946713
3,2017Q4,3154.120186540895,21117.872563116067,11945.86466034327,5875.832615698449,8436.093163495167,9585.014492853643,7204.5127468334,9064.1864901886,5981.497559323465
4,2018Q1,3282.7122529705734,19579.396346785325,8948.428074792937,5663.09717054537,8496.327182751136,8731.904707131027,6485.270610073802,7957.7594439715995,6424.837062739091
5,2018Q2,2812.8289797476186,19776.602268951814,9118.685985660362,5844.443413056529,8633.593124400817,8857.125212721825,6596.468058615498,8146.380938601977,6562.37619242667
6,2018Q3,2992.2447108649685,19944.37187070219,9266.620452642885,6002.118184596917,8751.986879941482,8964.948687121883,6692.648553131462,8308.43295185929,6681.383630032471
7,2018Q4,3679.714175044515,20700.28073545853,10513.71007897341,6289.385661480195,8888.207370805423,9405.245757343975,7072.531205146064,8908.656461616283,6684.794472273365
8,2019Q1,4051.2581248611486,20220.449961888116,9517.743309802534,6271.258805136403,8951.202599472012,9144.887184397376,6855.037127186639,8578.6717374094,6882.221742687518
9,2019Q2,3632.510915089667,20443.424073505266,9709.811029598844,6475.467819190983,9106.069947499886,9286.491443725829,6980.487731149654,8791.8227989566,7037.440604773683
10,2019Q3,3805.7840097504895,20669.494939203214,9909.629519611432,6688.744719416905,9265.941227810565,9431.817519618766,7110.37799380814,9010.345944895776,7198.118980310931
11,2019Q4,4270.900698647171,20089.62770876395,8685.676359767218,6682.910362106272,9356.746952238804,9118.96102181877,6849.792566061206,8616.493958414225,7456.2942932076485
12,2020Q1,4949.802355143195,21107.529654734106,10299.897535838758,7104.984889383454,9577.205762641941,9714.939149456703,7363.57726528066,9435.472580406797,7511.443327753874
13,2020Q2,4270.078981024201,21521.363172372814,10662.923610763253,7493.244948601721,9868.680027989381,9979.307187279575,7600.070916685504,9833.813338015594,7803.8176266115925
14,2020Q3,4568.795042379329,21920.64329408604,11018.831464438335,7874.2498288192255,10152.91624658944,10236.633817900984,7831.165989404304,10220.985449979682,8089.566899343483
15,2020Q4,5052.0,20303.5,8261.333333333334,7715.083333333334,10243.222222222223,9454.944444444445,7186.944444444445,9205.9,8535.5
16,2021Q1,5660.1963057335515,22488.652512628476,11531.877324056091,8424.748085773763,11788.091272639853,10604.89639787668,10617.478159810187,10774.897452392826,8500.454249902514
17,2021Q2,5140.368494010525,22870.626392107333,11867.539510483983,8783.76334318306,10294.300730171646,10849.154186512667,7309.800438824695,11142.869835797519,8770.69739727989
18,2021Q3,5163.762328229409,23265.91200298557,12213.664990649599,9152.496884034164,10299.895693801473,11102.24158372275,6991.045974838857,11523.469924563748,9049.521894615704
19,2021Q4,5715.0,20270.0,11805.666666666666,8561.041666666666,11059.0,11054.22222222222,8784.0,11258.1,8532.5
20,2022Q1,6345.409022722613,24160.254234103282,13011.765924124122,10006.281509505206,13501.777245456538,11679.36487754537,12638.916297270993,12391.346501795695,9690.138579769602
21,2022Q2,5860.012179179946,24942.554226104392,13707.058629689247,10751.795199198168,12080.75800324361,12181.962566872084,9136.38403347017,13148.501976050866,10248.72183508146
22,2022Q3,5857.992464709073,25479.275513397806,14175.87696033813,11250.865736581985,11989.38796436139,12525.315350853303,8506.409054269221,13664.792395511424,10626.557285089915
23,2022Q4,6742.0,20504.0,14278.333333333334,11533.333333333334,14625.75,11537.611111111111,15175.0,12619.8,10412.0
24,2023Q1,7115.5,22243.0,14402.833333333334,11326.083333333334,15859.5,11751.944444444445,15175.0,13143.0,10026.5
25,2023Q2,7358.142498348292,27717.55386172887,16156.358372603947,13365.915037961848,15896.388443329894,13964.401874090223,14439.088843319867,15829.094660751834,12218.802290332691
26,2023Q3,7739.5,23953.5,14610.833333333334,13234.958333333334,15702.0,12750.77777777778,15175.0,13761.375,10564.0
27,2023Q4,7829.0,23612.0,15543.666666666666,11417.541666666666,17241.75,12747.388888888889,17884.0,14548.8,10714.0
28,2024Q1,9651.0,27910.5,18407.166666666668,14846.041666666668,20444.75,14636.63888888889,24652.5,16598.0625,12783.5
29,2024Q2,9465.0,35151.0,18391.666666666668,15503.541666666668,21668.25,16051.555555555557,24792.0,18274.875,14421.0
30,2024Q3,9372.0,38432.0,18407.0,15979.6875,23516.75,17412.333333333332,24931.0,20215.875,15758.0
31,2024Q4,9502.0,34842.0,17164.0,15270.375,22490.25,15984.666666666666,24826.0,19399.5,14774.0
