,hay-al-agami,hay-al-amereya,hay-awal-el-montazah,hay-gharb,hay-sharq,hay-than-el-montazah,hay-wasat
2023Q4,3800.0,14825.0,9850.0,8087.5,16326.19,8150.0,22725.0
2024Q1,4016.67,15391.66,10936.67,8845.83,17196.82,9116.67,23175.0
2024Q2,4416.67,15658.34,12826.67,10137.5,18473.81,10983.33,23991.67
2024Q3,4800.0,15741.66,13956.67,11033.33,19354.76,12066.67,24525.0
2024Q4,4875.0,15500.0,14450.0,11506.25,19766.67,12625.0,24587.5
