,hay-al-amereyah,hay-than-el-montazah,hay-awal-el-montazah,hay-el-gomrok,alexandria-compounds,hay-wasat,hay-sharq,hay-al-agami,hay-gharb,Date
0,4154.7127211610805,10545.29872317684,5703.8456976170555,0.0,18572.486993419618,9656.479334614934,6039.851535951046,2135.0553995543996,20917.999926651428,2017Q1
1,4525.007816538352,10633.923039401312,5895.315891651879,0.0,18844.015425350444,9883.273302498481,4322.773154542926,1874.6599448754232,20917.99987120613,2017Q2
2,4865.560591901797,10715.009640889215,6072.790833946713,0.0,19092.315481622136,10092.583303807456,6255.253103652891,2400.0112325676705,20917.99992676185,2017Q3
3,5319.394873313261,10949.526220313013,5981.497559323465,0.0,21117.872563116067,9667.673580156934,9103.869998046988,3154.120186540895,22214.970041820878,2017Q4
4,5542.758110540956,10871.88229460657,6424.837062739091,0.0,19579.396346785325,10507.383755428471,9375.438339087257,3282.7122529705734,20917.99989210333,2018Q1
5,5809.577650673426,10936.554956280452,6562.37619242667,0.0,19776.602268951814,10670.718190186135,6837.7224869300135,2812.8289797476186,20917.999937667126,2018Q2
6,6038.449565694947,10991.512959760916,6681.383630032471,0.0,19944.37187070219,10811.325206751502,7338.432854560434,2992.2447108649685,20917.999909175927,2018Q3
7,6264.131389304285,11088.67705659473,6684.794472273365,0.0,20700.28073545853,10703.883536464782,10191.051447306834,3679.714175044515,21371.809462022364,2018Q4
8,6422.722550453425,11080.68524098444,6882.221742687518,0.0,20220.449961888116,11047.368071757384,11673.177351087288,4051.2581248611486,20917.99983606195,2019Q1
9,6723.285839569624,11154.137232266741,7037.440604773683,0.0,20443.424073505266,11231.652163850118,9320.157943638049,3632.510915089667,20917.999850165477,2019Q2
10,7032.675538000216,11227.92447576526,7198.118980310931,0.0,20669.494939203214,11421.504461812989,9679.389908521945,3805.7840097504895,20917.999872026256,2019Q3
11,7254.150874198154,11223.518122730393,7456.2942932076485,0.0,20089.62770876395,11863.7013384164,11503.739860886104,4270.900698647171,20353.219910629603,2019Q4
12,7633.032628746831,11371.20800657908,7511.443327753874,0.0,21107.529654734106,11790.834260003223,14090.158207311799,4949.802355143195,20917.999834728573,2020Q1
13,8199.82359355275,11505.541994763891,7803.8176266115925,0.0,21521.363172372814,12137.289139293258,10176.502512228897,4270.078981024201,20917.999771705407,2020Q2
14,8750.576665913457,11634.868384964217,8089.566899343483,0.0,21920.64329408604,12474.666503774577,10781.294533445136,4568.795042379329,20917.999783825544,2020Q3
15,9011.5,11568.0,8535.5,0.0,20303.5,13299.5,12626.5,5052.0,19732.0,2020Q4
16,9540.786142398416,11817.731332649739,8500.454249902514,10617.478159810187,22488.652512628476,12958.704385469518,14704.607665582176,5660.1963057335515,20917.999783754836,2021Q1
17,10064.306254333365,11941.708529246876,8770.69739727989,7309.800438824695,22870.626392107333,13278.801021518597,11585.286091347556,5140.368494010525,20917.999760313578,2021Q2
18,10601.837771973755,12071.335332884657,9049.521894615704,6991.045974838857,23265.91200298557,13608.745412764089,10930.627766389089,5163.762328229409,20917.999778922444,2021Q3
19,8191.0,12824.5,8532.5,8784.0,20270.0,13334.0,12815.5,5715.0,20918.0,2021Q4
20,11834.508334787804,12361.557775572957,9690.138579769602,12638.916297270993,24160.254234103282,14364.638193642084,14639.472208827641,6345.409022722613,20917.99977977517,2022Q1
21,12915.383730298629,12613.847955522926,10248.72183508146,9136.38403347017,24942.554226104392,15025.13197301705,10912.800741873565,5860.012179179946,20917.999757360107,2022Q2
22,13643.744384942815,12790.179077753279,10626.557285089915,8506.409054269221,25479.275513397806,15472.366874453557,9869.02854413144,5857.992464709073,20917.999741474836,2022Q3
23,14701.0,9922.5,10412.0,15175.0,20504.0,14076.5,13513.0,6742.0,20918.0,2022Q4
24,13759.5,10826.5,10026.5,15175.0,22243.0,16544.0,15226.710550296753,7115.5,20918.0,2023Q1
25,16710.920986389327,13519.681112439022,12218.802290332691,14439.088843319867,27717.55386172887,17353.68804333992,12451.048789415452,7358.142498348292,20917.99984026098,2023Q2
26,20025.5,13077.5,10564.0,15175.0,23953.5,16229.0,12370.271924838244,7739.5,20918.0,2023Q3
27,11583.5,11984.5,10714.0,17884.0,23612.0,16599.5,15562.0,7829.0,20918.0,2023Q4
28,18542.5,12719.25,12783.5,24652.5,27910.5,16237.0,19816.658603044518,9651.0,20918.0,2024Q1
29,19736.5,15342.0,14421.0,24792.0,35151.0,18544.5,19064.961028497222,9465.0,20918.0,2024Q2
30,20381.75,18072.0,15758.0,24931.0,38432.0,22102.5,19499.786391741196,9372.0,20918.0,2024Q3
31,19641.5,16016.0,14774.0,24826.0,34842.0,20154.5,21227.0,9502.0,20917.999657124463,2024Q4
