,Date,hay-than-el-montazah,alexandria-compounds,hay-sharq,hay-wasat,hay-al-amereyah,hay-gharb,hay-awal-el-montazah,hay-el-gomrok,hay-al-agami
0,2017Q1,10545.29872317684,18572.486993419618,8710.635924970527,7779.366005814401,4702.101849448991,8050.278696426671,5703.8456976170555,5902.252677013868,2135.0553995543996
1,2017Q2,10633.923039401312,18844.015425350444,8886.3869512368,7970.170115330669,4955.732624628495,8287.927481990093,5895.315891651879,6057.066928162858,1874.6599448754232
2,2017Q3,10715.009640889215,19092.315481622136,9048.099740003005,8146.545473939492,5191.59806578274,8508.93962840713,6072.790833946713,6200.507644071528,2400.0112325676705
3,2017Q4,10949.526220313013,21117.872563116067,8735.195055123022,8436.093163495167,5875.832615698449,11945.86466034327,5981.497559323465,7204.5127468334,3154.120186540895
4,2018Q1,10871.88229460657,19579.396346785325,9365.529653855941,8496.327182751136,5663.09717054537,8948.428074792937,6424.837062739091,6485.270610073802,3282.7122529705734
5,2018Q2,10936.554956280452,19776.602268951814,9492.74869025914,8633.593124400817,5844.443413056529,9118.685985660362,6562.37619242667,6596.468058615498,2812.8289797476186
6,2018Q3,10991.512959760916,19944.37187070219,9601.751981643007,8751.986879941482,6002.118184596917,9266.620452642885,6681.383630032471,6692.648553131462,2992.2447108649685
7,2018Q4,11088.67705659473,20700.28073545853,9523.466058553724,8888.207370805423,6289.385661480195,10513.71007897341,6684.794472273365,7072.531205146064,3679.714175044515
8,2019Q1,11080.68524098444,20220.449961888116,9782.361242329598,8951.202599472012,6271.258805136403,9517.743309802534,6882.221742687518,6855.037127186639,4051.2581248611486
9,2019Q2,11154.137232266741,20443.424073505266,9926.292136386517,9106.069947499886,6475.467819190983,9709.811029598844,7037.440604773683,6980.487731149654,3632.510915089667
10,2019Q3,11227.92447576526,20669.494939203214,10073.13314824329,9265.941227810565,6688.744719416905,9909.629519611432,7198.118980310931,7110.37799380814,3805.7840097504895
11,2019Q4,11223.518122730393,20089.62770876395,10406.576502351383,9356.746952238804,6682.910362106272,8685.676359767218,7456.2942932076485,6849.792566061206,4270.900698647171
12,2020Q1,11371.20800657908,21107.529654734106,10358.66080886742,9577.205762641941,7104.984889383454,10299.897535838758,7511.443327753874,7363.57726528066,4949.802355143195
13,2020Q2,11505.541994763891,21521.363172372814,10626.282495385345,9868.680027989381,7493.244948601721,10662.923610763253,7803.8176266115925,7600.070916685504,4270.078981024201
14,2020Q3,11634.868384964217,21920.64329408604,10885.800389621772,10152.91624658944,7874.2498288192255,11018.831464438335,8089.566899343483,7831.165989404304,4568.795042379329
15,2020Q4,11568.0,20303.5,11507.375,10243.222222222223,7715.083333333334,8261.333333333334,8535.5,7186.944444444445,5052.0
16,2021Q1,11817.731332649739,22488.652512628476,11256.066251549477,11788.091272639853,8424.748085773763,11531.877324056091,8500.454249902514,10617.478159810187,5660.1963057335515
17,2021Q2,11941.708529246876,22870.626392107333,11503.228759760614,10294.300730171646,8783.76334318306,11867.539510483983,8770.69739727989,7309.800438824695,5140.368494010525
18,2021Q3,12071.335332884657,23265.91200298557,11759.50253631193,10299.895693801473,9152.496884034164,12213.664990649599,9049.521894615704,6991.045974838857,5163.762328229409
19,2021Q4,12824.5,20270.0,11876.625,11059.0,8561.041666666666,11805.666666666666,8532.5,8784.0,5715.0
20,2022Q1,12361.557775572957,24160.254234103282,12341.369620743024,13501.777245456538,10006.281509505206,13011.765924124122,9690.138579769602,12638.916297270993,6345.409022722613
21,2022Q2,12613.847955522926,24942.554226104392,12848.626340988696,12080.75800324361,10751.795199198168,13707.058629689247,10248.72183508146,9136.38403347017,5860.012179179946
22,2022Q3,12790.179077753279,25479.275513397806,13196.493628044844,11989.38796436139,11250.865736581985,14175.87696033813,10626.557285089915,8506.409054269221,5857.992464709073
23,2022Q4,9922.5,20504.0,11981.0,14625.75,11533.333333333334,14278.333333333334,10412.0,15175.0,6742.0
24,2023Q1,10826.5,22243.0,12465.666666666666,15859.5,11326.083333333334,14402.833333333334,10026.5,15175.0,7115.5
25,2023Q2,13519.681112439022,27717.55386172887,14650.24455210865,15896.388443329894,13365.915037961848,16156.358372603947,12218.802290332691,14439.088843319867,7358.142498348292
26,2023Q3,13077.5,23953.5,13290.166666666666,15702.0,13234.958333333334,14610.833333333334,10564.0,15175.0,7739.5
27,2023Q4,11984.5,23612.0,13715.0,17241.75,11417.541666666666,15543.666666666666,10714.0,17884.0,7829.0
28,2024Q1,12719.25,27910.5,13913.25,20444.75,14846.041666666668,18407.166666666668,12783.5,24652.5,9651.0
29,2024Q2,15342.0,35151.0,16102.5,21668.25,15503.541666666668,18391.666666666668,14421.0,24792.0,9465.0
30,2024Q3,18072.0,38432.0,18644.166666666668,23516.75,15979.6875,18407.0,15758.0,24931.0,9372.0
31,2024Q4,16016.0,34842.0,18042.875,22490.25,15270.375,17164.0,14774.0,24826.0,9502.0
