,Date,hay-al-amereyah,alexandria-compounds,hay-awal-el-montazah,hay-al-agami,hay-gharb,hay-sharq,hay-than-el-montazah,hay-wasat,hay-el-gomrok
0,2017Q1,4702.101849448991,18572.486993419618,5703.8456976170555,2135.0553995543996,8050.278696426671,6980.913886776268,10545.29872317684,7779.366005814401,5902.252677013868
1,2017Q2,4955.732624628495,18844.015425350444,5895.315891651879,1874.6599448754232,8287.927481990093,7242.156852888708,10633.923039401312,7970.170115330669,6057.066928162858
2,2017Q3,5191.59806578274,19092.315481622136,6072.790833946713,2400.0112325676705,8508.93962840713,7482.985029480411,10715.009640889215,8146.545473939492,6200.507644071528
3,2017Q4,5875.832615698449,21117.872563116067,5981.497559323465,3154.120186540895,11945.86466034327,9064.1864901886,10949.526220313013,8436.093163495167,7204.5127468334
4,2018Q1,5663.09717054537,19579.396346785325,6424.837062739091,3282.7122529705734,8948.428074792937,7957.7594439715995,10871.88229460657,8496.327182751136,6485.270610073802
5,2018Q2,5844.443413056529,19776.602268951814,6562.37619242667,2812.8289797476186,9118.685985660362,8146.380938601977,10936.554956280452,8633.593124400817,6596.468058615498
6,2018Q3,6002.118184596917,19944.37187070219,6681.383630032471,2992.2447108649685,9266.620452642885,8308.43295185929,10991.512959760916,8751.986879941482,6692.648553131462
7,2018Q4,6289.385661480195,20700.28073545853,6684.794472273365,3679.714175044515,10513.71007897341,8908.656461616283,11088.67705659473,8888.207370805423,7072.531205146064
8,2019Q1,6271.258805136403,20220.449961888116,6882.221742687518,4051.2581248611486,9517.743309802534,8578.6717374094,11080.68524098444,8951.202599472012,6855.037127186639
9,2019Q2,6475.467819190983,20443.424073505266,7037.440604773683,3632.510915089667,9709.811029598844,8791.8227989566,11154.137232266741,9106.069947499886,6980.487731149654
10,2019Q3,6688.744719416905,20669.494939203214,7198.118980310931,3805.7840097504895,9909.629519611432,9010.345944895776,11227.92447576526,9265.941227810565,7110.37799380814
11,2019Q4,6682.910362106272,20089.62770876395,7456.2942932076485,4270.900698647171,8685.676359767218,8616.493958414225,11223.518122730393,9356.746952238804,6849.792566061206
12,2020Q1,7104.984889383454,21107.529654734106,7511.443327753874,4949.802355143195,10299.897535838758,9435.472580406797,11371.20800657908,9577.205762641941,7363.57726528066
13,2020Q2,7493.244948601721,21521.363172372814,7803.8176266115925,4270.078981024201,10662.923610763253,9833.813338015594,11505.541994763891,9868.680027989381,7600.070916685504
14,2020Q3,7874.2498288192255,21920.64329408604,8089.566899343483,4568.795042379329,11018.831464438335,10220.985449979682,11634.868384964217,10152.91624658944,7831.165989404304
15,2020Q4,7715.083333333334,20303.5,8535.5,5052.0,8261.333333333334,9205.9,11568.0,10243.222222222223,7186.944444444445
16,2021Q1,8424.748085773763,22488.652512628476,8500.454249902514,5660.1963057335515,11531.877324056091,10774.897452392826,11817.731332649739,11788.091272639853,10617.478159810187
17,2021Q2,8783.76334318306,22870.626392107333,8770.69739727989,5140.368494010525,11867.539510483983,11142.869835797519,11941.708529246876,10294.300730171646,7309.800438824695
18,2021Q3,9152.496884034164,23265.91200298557,9049.521894615704,5163.762328229409,12213.664990649599,11523.469924563748,12071.335332884657,10299.895693801473,6991.045974838857
19,2021Q4,8561.041666666666,20270.0,8532.5,5715.0,11805.666666666666,11258.1,12824.5,11059.0,8784.0
20,2022Q1,10006.281509505206,24160.254234103282,9690.138579769602,6345.409022722613,13011.765924124122,12391.346501795695,12361.557775572957,13501.777245456538,12638.916297270993
21,2022Q2,10751.795199198168,24942.554226104392,10248.72183508146,5860.012179179946,13707.058629689247,13148.501976050866,12613.847955522926,12080.75800324361,9136.38403347017
22,2022Q3,11250.865736581985,25479.275513397806,10626.557285089915,5857.992464709073,14175.87696033813,13664.792395511424,12790.179077753279,11989.38796436139,8506.409054269221
23,2022Q4,11533.333333333334,20504.0,10412.0,6742.0,14278.333333333334,12619.8,9922.5,14625.75,15175.0
24,2023Q1,11326.083333333334,22243.0,10026.5,7115.5,14402.833333333334,13143.0,10826.5,15859.5,15175.0
25,2023Q2,13365.915037961848,27717.55386172887,12218.802290332691,7358.142498348292,16156.358372603947,15829.094660751834,13519.681112439022,15896.388443329894,14439.088843319867
26,2023Q3,13234.958333333334,23953.5,10564.0,7739.5,14610.833333333334,13761.375,13077.5,15702.0,15175.0
27,2023Q4,11417.541666666666,23612.0,10714.0,7829.0,15543.666666666666,14548.8,11984.5,17241.75,17884.0
28,2024Q1,14846.041666666668,27910.5,12783.5,9651.0,18407.166666666668,16598.0625,12719.25,20444.75,24652.5
29,2024Q2,15503.541666666668,35151.0,14421.0,9465.0,18391.666666666668,18274.875,15342.0,21668.25,24792.0
30,2024Q3,15979.6875,38432.0,15758.0,9372.0,18407.0,20215.875,18072.0,23516.75,24931.0
31,2024Q4,15270.375,34842.0,14774.0,9502.0,17164.0,19399.5,16016.0,22490.25,24826.0
