,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,20847.137,22022.37,21434.754
1,2025Q3,20509.932,21399.344,20954.639
2,2025Q4,20149.568,21055.312,20602.44
3,2026Q1,20405.592,21874.82,21140.205
4,2026Q2,21122.68,22032.107,21577.395
5,2026Q3,21352.766,22481.469,21917.117
6,2026Q4,21423.078,22893.275,22158.176
7,2027Q1,23199.78,24681.316,23940.549
8,2027Q2,23138.16,24559.98,23849.07
9,2027Q3,23027.797,24349.113,23688.455
10,2027Q4,22700.826,24186.58,23443.703
11,2028Q1,24264.89,26224.54,25244.715
