,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,12314.526,15098.794,13706.66
1,2025Q3,13468.114,15589.061,14528.587
2,2025Q4,14731.311,17115.87,15923.59
3,2026Q1,16674.139,18528.742,17601.441
4,2026Q2,17122.283,19212.441,18167.363
5,2026Q3,17132.145,19894.512,18513.328
6,2026Q4,16879.688,20231.277,18555.482
7,2027Q1,17741.053,21148.775,19444.912
8,2027Q2,17856.086,21141.354,19498.72
9,2027Q3,18315.848,22149.682,20232.764
10,2027Q4,19817.432,24172.633,21995.031
11,2028Q1,22340.742,26732.15,24536.447
